Fingerprint,Description
PubchemFP1,>= 4 H
PubchemFP2,>= 8 H
PubchemFP3,>= 16 H
PubchemFP4,>= 32 H
PubchemFP5,>= 1 Li
PubchemFP6,>= 2 Li
PubchemFP7,>= 1 B
PubchemFP8,>= 2 B
PubchemFP9,>= 4 B
PubchemFP10,>= 2 C
PubchemFP11,>= 4 C
PubchemFP12,>= 8 C
PubchemFP13,>= 16 C
PubchemFP14,>= 32 C
PubchemFP15,>= 1 N
PubchemFP16,>= 2 N
PubchemFP17,>= 4 N
PubchemFP18,>= 8 N
PubchemFP19,>= 1 O
PubchemFP20,>= 2 O
PubchemFP21,>= 4 O
PubchemFP22,>= 8 O
PubchemFP23,>= 16 O
PubchemFP24,>= 1 F
PubchemFP25,>= 2 F
PubchemFP26,>= 4 F
PubchemFP27,>= 1 Na
PubchemFP28,>= 2 Na
PubchemFP29,>= 1 Si
PubchemFP30,>= 2 Si
PubchemFP31,>= 1 P
PubchemFP32,>= 2 P
PubchemFP33,>= 4 P
PubchemFP34,>= 1 S
PubchemFP35,>= 2 S
PubchemFP36,>= 4 S
PubchemFP37,>= 8 S
PubchemFP38,>= 1 Cl
PubchemFP39,>= 2 Cl
PubchemFP40,>= 4 Cl
PubchemFP41,>= 8 Cl
PubchemFP42,>= 1 K
PubchemFP43,>= 2 K
PubchemFP44,>= 1 Br
PubchemFP45,>= 2 Br
PubchemFP46,>= 4 Br
PubchemFP47,>= 1 I
PubchemFP48,>= 2 I
PubchemFP49,>= 4 I
PubchemFP50,>= 1 Be
PubchemFP51,>= 1 Mg
PubchemFP52,>= 1 Al
PubchemFP53,>= 1 Ca
PubchemFP54,>= 1 Sc
PubchemFP55,>= 1 Ti
PubchemFP56,>= 1 V
PubchemFP57,>= 1 Cr
PubchemFP58,>= 1 Mn
PubchemFP59,>= 1 Fe
PubchemFP60,>= 1 Co
PubchemFP61,>= 1 Ni
PubchemFP62,>= 1 Cu
PubchemFP63,>= 1 Zn
PubchemFP64,>= 1 Ga
PubchemFP65,>= 1 Ge
PubchemFP66,>= 1 As
PubchemFP67,>= 1 Se
PubchemFP68,>= 1 Kr
PubchemFP69,>= 1 Rb
PubchemFP70,>= 1 Sr
PubchemFP71,>= 1 Y
PubchemFP72,>= 1 Zr
PubchemFP73,>= 1 Nb
PubchemFP74,>= 1 Mo
PubchemFP75,>= 1 Ru
PubchemFP76,>= 1 Rh
PubchemFP77,>= 1 Pd
PubchemFP78,>= 1 Ag
PubchemFP79,>= 1 Cd
PubchemFP80,>= 1 In
PubchemFP81,>= 1 Sn
PubchemFP82,>= 1 Sb
PubchemFP83,>= 1 Te
PubchemFP84,>= 1 Xe
PubchemFP85,>= 1 Cs
PubchemFP86,>= 1 Ba
PubchemFP87,>= 1 Lu
PubchemFP88,>= 1 Hf
PubchemFP89,>= 1 Ta
PubchemFP90,>= 1 W
PubchemFP91,>= 1 Re
PubchemFP92,>= 1 Os
PubchemFP93,>= 1 Ir
PubchemFP94,>= 1 Pt
PubchemFP95,>= 1 Au
PubchemFP96,>= 1 Hg
PubchemFP97,>= 1 Tl
PubchemFP98,>= 1 Pb
PubchemFP99,>= 1 Bi
PubchemFP100,>= 1 La
PubchemFP101,>= 1 Ce
PubchemFP102,>= 1 Pr
PubchemFP103,>= 1 Nd
PubchemFP104,>= 1 Pm
PubchemFP105,>= 1 Sm
PubchemFP106,>= 1 Eu
PubchemFP107,>= 1 Gd
PubchemFP108,>= 1 Tb
PubchemFP109,>= 1 Dy
PubchemFP110,>= 1 Ho
PubchemFP111,>= 1 Er
PubchemFP112,>= 1 Tm
PubchemFP113,>= 1 Yb
PubchemFP114,>= 1 Tc
PubchemFP115,>= 1 U
PubchemFP116,>= 1 any ring size 3
PubchemFP117,>= 1 saturated or aromatic carbon-only ring size 3
PubchemFP118,>= 1 saturated or aromatic nitrogen-containing ring size 3
PubchemFP119,>= 1 saturated or aromatic heteroatom-containing ring size 3
PubchemFP120,>= 1 unsaturated non-aromatic carbon-only ring size 3
PubchemFP121,>= 1 unsaturated non-aromatic nitrogen-containing ring size 3
PubchemFP122,>= 1 unsaturated non-aromatic heteroatom-containing ring size 3
PubchemFP123,>= 2 any ring size 3
